Date;Indicator;Value
2022-07;draw;0.0
2022-07;build;0.015310285857
2022-10;stock change;-0.98988829601
2024-04;world production;101.78661547
2022-01;world consumption;99.096919232
2022-10;world consumption;100.20618189
2023-01;stock change;-0.13807301888
2023-01;draw;0.0
2023-04;world consumption;101.95157055
2023-04;build;0.0
2023-07;world production;101.68916983
2024-04;world consumption;102.72633004
2024-04;stock change;0.93971456545
2022-01;world production;98.964288411
2022-01;stock change;0.13263082049
2022-04;world consumption;99.567774885
2022-04;draw;-0.70352525089
2022-10;draw;0.0
2023-01;world production;101.10552589
2023-01;build;0.13807301888
2023-04;world production;101.47830251
2023-07;stock change;0.72603890725
2024-01;world consumption;102.05535052
2024-01;draw;-0.23685038972
2024-04;draw;-0.93971456545
2022-01;draw;-0.13263082049
2022-01;build;0.0
2022-04;world production;98.864249634
2022-04;stock change;0.70352525089
2022-07;stock change;-0.015310285857
2023-04;draw;-0.47326803826
2023-10;world production;102.90274899
2023-10;world consumption;102.49981423
2023-10;stock change;-0.40293476189
2023-10;draw;0.0
2024-01;stock change;0.23685038972
2024-01;build;0.0
2024-04;build;0.0
2022-04;build;0.0
2022-07;world production;100.88485539
2022-07;world consumption;100.8695451
2022-10;world production;101.19607019
2022-10;build;0.98988829601
2023-01;world consumption;100.96745287
2023-04;stock change;0.47326803826
2023-07;world consumption;102.41520873
2023-07;draw;-0.72603890725
2023-07;build;0.0
2023-10;build;0.40293476189
2024-01;world production;101.81850013
